主播名称,开播时间,直播时长,直播平均在线人数,直播在线人数峰值,观看总人次,直播标题
白鲨嘉尔（尊师阿肯）,"2024-03-12 06:29:59
~
2024-03-12 10:23:15",3h53m16s,27,67,5084,目前黑屋2次，继续北部前百延迟20s
白鲨嘉尔（尊师阿肯）,"2024-03-12 02:22:28
~
2024-03-12 05:35:30",3h13m2s,13,32,1513,我勒个扫刚黑屋掉10个，北部前百延迟20s
白鲨嘉尔（尊师阿肯）,"2024-03-12 00:25:55
~
2024-03-12 01:20:25",0h54m30s,4,7,200,尊师阿肯冲刺北部前百
CF白鲨柠夏,"2024-03-12 23:01:09
~
2024-03-13 02:52:41",3h51m32s,2,4,429,白鲨颠婆女主播，混时长了❥
CF白鲨柠夏,"2024-03-12 22:15:18
~
2024-03-12 22:53:03",0h37m45s,1,2,56,白鲨颠婆女主播，混时长了❥
CF白鲨柠夏,"2024-03-12 12:42:17
~
2024-03-12 18:08:36",5h26m19s,4,10,2452,白鲨颠婆女主播，混时长了❥
CF白鲨柠夏,"2024-03-12 12:09:30
~
2024-03-12 12:30:55",0h21m25s,4,11,125,白鲨颠婆女主播，混时长了❥
CF白鲨乔艺,"2024-03-12 00:06:19
~
2024-03-12 04:28:22",4h22m3s,2,4,381,上分/小时，无单秒
白鲨肖奇伦(世界冠军）,"2024-03-12 21:13:00
~
2024-03-13 04:11:39",6h58m39s,78,215,9242,北部冲前十
cf.solo（世界冠军）,"2024-03-12 23:08:51
~
None",10h20m57s,438,778,46620,北部枪王之王
CFM情久战舞,"2024-03-12 14:21:18
~
2024-03-12 16:54:13",2h32m55s,253,423,20488,梦想收个房管！
CFM情久战舞,"2024-03-12 14:14:34
~
2024-03-12 14:19:14",0h4m40s,0,73,305,梦想收个房管！
CFM李白 白给天才,"2024-03-12 21:08:50
~
2024-03-13 02:02:14",4h53m24s,463,648,30343,很高兴认识你
